CERT,NAME,CITY
31539,WILMINGTON SAVINGS BANK,WILMINGTON
31545,CENTRAL BANK,SAVANNAH
31628,EAST WEST BANK,PASADENA
31694,VOLUNTEER FSB,MADISONVILLE
31711,RIVERBANK,POCAHONTAS
31723,HOME SAVINGS BANK FSB,LUDLOW
31762,GREATER STATE BANK,MCALLEN
31774,HOME FS&LA,BAMBERG
31823,INTERAMERICAN BANK A FSB,MIAMI
31840,FINANCIAL FEDERAL BANK,MEMPHIS
31864,GRAND BANK FOR SAVINGS FSB,HATTIESBURG
31900,CBL STATE SAVINGS BANK,GREER
31905,CYPRESS BANK SSB,PITTSBURG
31928,FIRST SENTINEL BANK,RICHLANDS
31936,FAYETTE SAVINGS BANK SSB,LA GRANGE
31945,TRUSTCO BANK,GLENVILLE
31972,FIRST WESTERN FSB,RAPID CITY
31994,SLOVENIAN S&LA FRANKLIN-CONE,CONEMAUGH
31999,MADISON COUNTY BANK,MADISON
32018,ANGELINA SAVINGS BANK SSB,LUFKIN
32025,UNITED BANK,SPRINGDALE
32082,VIKING BANK NATIONAL ASSN,ALEXANDRIA
32084,GRAND SAVINGS BANK,GROVE
32135,SHELBY SAVINGS BANK SSB,CENTER
32172,PACIFIC PREMIER BANK NA,IRVINE
32188,USAA FEDERAL SAVINGS BANK,PHOENIX
32203,SUMMIT STATE BANK,SANTA ROSA
32232,STERLING BANK&TRUST FSB,SOUTHFIELD
32242,LIBERTY SAVINGS BANK FSB,WILMINGTON
32245,DOLLAR BANK FSB,PITTSBURGH
32257,ABACUS FEDERAL SAVINGS BANK,NEW YORK
32277,EASTERN INTERNATIONAL BANK,LOS ANGELES
32282,MALAGA BANK FSB,PALOS VERDES PEN
32286,COMMUNITY SAVINGS BANK,BETHEL
32292,WOODSFIELD SAVINGS BANK,WOODSFIELD
32293,MIAMI SAVINGS BANK,MIAMITOWN
32296,UNION SAVINGS BANK,CINCINNATI
32306,NEW FOUNDATION SAVINGS BANK,CINCINNATI
32307,GALION BUILDING&LOAN BANK,GALION
32348,TAYLORSVILLE SB SSB,TAYLORSVILLE
32360,EASTERN SAVINGS BANK FSB,HUNT VALLEY
32363,PRESIDENTIAL BANK FSB,BETHESDA
32441,UNITED MIDWEST SB NA,DEGRAFF
32459,HOMELAND FSB,COLUMBIA
32489,HOMESTREET BANK,SEATTLE
32526,AMERICAN SAVINGS BANK FSB,HONOLULU
32527,BAYVANGUARD BANK,BALTIMORE
32532,SOUTH GEORGIA BANK,GLENNVILLE
32541,FLAGSTAR BANK NATIONAL ASSN,HICKSVILLE
32551,LENDINGCLUB BANK NA,LEHI
32574,XD BANK,PLANO
32612,NATIONAL COOP BANK N A,HILLSBORO
32629,FIRST SAVINGS BANK,BERESFORD
32647,NORTHWEST BANK,SPENCER
32718,HELM BANK USA,MIAMI
32773,EASTERN BANK,BOSTON
32779,BANK OF MARIN,NOVATO
32908,TUSTIN COMMUNITY BANK,TUSTIN
32912,WHITAKER BANK,LEXINGTON
32941,WESTSTAR BANK,EL PASO
32968,BANK47,UNION SPRINGS
32974,GULF COAST BANK&TRUST CO,NEW ORLEANS
32992,MORGAN STANLEY BANK NA,SALT LAKE CITY
33005,FCB BANKS,COLLINSVILLE
33009,COUNTY BANK,REHOBOTH BEACH
33010,FIRST PEOPLES BANK,PINE MOUNTAIN
33013,ASIAN PACIFIC NATIONAL BANK,SAN GABRIEL
33026,SURETY BANK,DELAND
33103,GATEWAY BANK FSB,OAKLAND
33111,COLORADO FSB,GREENWOOD VILLAG
33119,HERITAGE BANK INC,ERLANGER
